Animal,Agapornis,500,Aves\AveAgo.jpg,"Los agapornis, o mejor conocidos como loritos del amor, son unas aves provenientes del continente africano.  Son conocidos por ser muy sociables y dóciles pajarillos, se les ha tomado un gran cariño en la comunidad de los amantes de las aves y con toda razón, pues estas aves suelen ser muy alegres y cantarinas.",agapornis,20,16,Colores variados
Animal,Canarios,500,Aves\Canarios.png,"El canario es un ave de nombre científico serinus canaria. A pesar de su nombre, no solo es originario de las islas Canarias sino que también lo es de las Azores y Madeira. El canario doméstico, el que solemos tener como mascota, es una subespecie desarrollada en cautividad partiendo del canario silvestre o canario salvaje y es el ave más común del mundo como mascota, famosa por su canto.",Fringillidae,15,11.5,Amarillo
Animal,Cotorras,1000,Aves\Coto.jpg,conocidas también como cotorras de collar,Myiopsitta monachus,150,40,Verde
Animal,Jilgueros,700,Aves\Jil.jpg," Sin lugar a dudas el jilguero, uno de los animales tan bellos tanto por los colores de sus plumajes como la armonía de su canto.",Carduelis cardueli,19,12,Color variado
Animal,Loros,900,Aves\loro.jpg,Los loros son aves de colores llamativos de gran colorido.,Psitasiformes,75,25,verde
Animal,Ninfas,800,Aves\Ninfas.jpg,"Las ninfas son muy apreciadas como mascotas por su carácter dócil y por ser mucho menos exigentes en cuanto a sus cuidados que los loros más grandes. Las ninfas se adaptan perfectamente a la vida en el hogar y si se las educa desde pequeñas, se convierten en unas mascotas adorables y muy cariñosas.",Nymphicus hollandicus,50,35,Amarillo con tonos grisaceos
Animal,Palomas,500,Aves\Palo.jpg,"Las palomas tienen la cabeza pequeña, el cuello corto, el cuerpo robusto con patas cortas y plumaje liso y brillante; tienen también una protuberancia carnosa o cerúlea, llamada cera, en la base del pico. Viven en los árboles o sobre el suelo y se alimentan de semillas, fruta, bellotas y otras nueces e insectos. ",Columbia livia,75,30,Blanco
Animal,Periquitos,400,Aves\Peri.jpg,"Son pajaritos muy alegres, sociables, les gusta vivir en parejas o grupos, pero si quieres que forme un vínculo fuerte contigo y aprenda a hablar o silbar, te conviene tener solo uno. En este caso debes estar seguro de que puedes dedicarle bastante atención.",psitácidos,20,12,Color Variado
Comida,Mezcla premium living world 908g,150,ComidaAve\MezPre.jpg,"El alimento Premium de Living World para Ninfas, Agapornis y Loros Grandes, es una mezcla de la más alta calidad que contiene un surtido de semillas exóticas, frutos secos, frutas y vegetales cultivados de forma natural y un agregado de gránulos Tropican.",,,,
Comida,Care+ Carolinas y Agapornis 500gr,106,ComidaAve\Care.png,"Para roselas orientales, ninfas o carolinas, periquitos de rabadilla roja, cotorra de Kramer, cotorra alejandrina, arantiga, pionus, pyrrhura y otras aves de tamaño similar. Los pellets están elaborados a base de ingredientes orgánicos en un 95% (como mínimo).",,,,
Comida,ZuPreem Pienso Multifrutas para Canarios y Pinzones FruitBlend,207,ComidaAve\ZuPre.jpg,Nutrición equilibrada y completa en cada pellet Las formulaciones utilizadas están hechas con ingredientes de alta calidad con origen en Estados Unidos y reforzadas con 21 vitaminas y minerales necesarios para el mantenimiento de una buena salud.,,,,
Comida,Beaphar Moult-Mix Mixtura Para Muda De Plumas 150g,55,ComidaAve\Bea.png,"La Mixtura para Muda de Plumas contiene trazas esenciales de elementos, minerales y vitaminas. Ayuda a una muda de plumas rápida y completa dando como resultado un nuevo plumaje sano.",,,,
Comida,Kaytee Multifuncional Guacamayos 1.13Kg,352.49,ComidaAve\Kay.jpg,"De textura crujiente y sabor afrutado, Multifuncional guacamayo está formulado con elementos nutritivos que mejoran la salud del ave y acentúan el color vibrante del plumaje.",,,,
Comida,Sandimas Pienso para Agapornis y Carolinas 1Kg,59,ComidaAve\San.jpg,Mixtura variada con composición equilibrada que garantiza una sana y completa,,,,
Comida,Nido Jilgueros Menú Completo 400g,133,ComidaAve\Nido.png,Mixtura premium jilgueros envadado al vacio fortificante con miel y vitaminas,,,,
Comida,Versele Laga Jilgueros y verderones Prestige 20Kg,1033,ComidaAve\Ver.jpg,"Alimentación para jilgueros, verderones y otras especies de pájaros pequeños",,,,
Comida,Tropican Alimento de Mantenimiento Granulado para Loros 820 g,143,ComidaAve\Tro.jpg,La comida de mantenimiento Tropican Lifetime Formula proporciona una nutrición diaria adecuada para loros juveniles hasta loros adultos para mantener un estilo de vida saludable.,,,,
Comida,ZuPreem Pienso Multifrutas para Loros Medianos FruitBlend 900g,253,ComidaAve\Zu.jpg,"Los pájaros de compañía adultos necesitan cada día una nutrición equilibrada con niveles adecuados de vitaminas, minerales y aminoácidos para que su salud, longevidad y reproducciónsean excelentes.",,,,
Comida,Versele Laga Nutribird B18 -Cria 4Kg,384,ComidaAve\V.jpg,"Composición científicamente aprobada con todos los nutrientes que sus pájaros necesitan. Completamente consumible, sin desperdicio de comida.",,,,
Snacks,Wuapu Barritas Miel para Agapornis,59,SnacksAve\Wua.jpg,"Las Barritas Miel Wuapu son un alimento complementario, sano y energético compuesto a base de semillas de alta calidad, especialmente formulado para agapornis.",,,,
Snacks,Vitakraft Barritas Agapornis De Miel Para pájaros,81,SnacksAve\Vit.jpg,Alimento energético y saludable con miel. Las barritas Vitakraft son una alternativa sana a otros alimentos de pájaro.,,,,
Snacks,Fiory Barritas Premium Canarios Miel,56,SnacksAve\Fio.jpg,Barritas premium canarios con miel envasado al vacio,,,,
Snacks,Vitakraft Cocktail De Frutas para Canarios con Vitaminas,52,SnacksAve\Coc.jpg,"Contiene vitaminas y oligoelementos que favorecen a la salud de sus canarios, previene cualquier deficiencia y también contribuye en la belleza de su plumaje.",,,,
Snacks,Fiory Barritas Premium Agaporni Miel,81,SnacksAve\f.png,Barritas premium agapornis con miel envasado al vacio,,,,
